Code:	WP 300.20

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 18.11.2019	Time: 16:11:33

Name:	stress strain aluminium
User Comment:	

Data Start
t Time Index	l Distance	F Force	EPS Strain	R	TEST Test	
h:min:s	mm	KN	%	N/mm^2		
15:58:27.3	0.0122	0.0300	0.0407	1.5987	1.0000
15:58:28.3	0.0366	0.1079	0.1221	5.7553	1.0000
15:58:29.3	0.0489	0.2098	0.1628	11.1908	1.0000
15:58:30.3	0.0489	0.2398	0.1628	12.7894	1.0000
15:58:31.3	0.0611	0.2578	0.2035	13.7487	1.0000
15:58:32.3	0.0733	0.2638	0.2443	14.0684	1.0000
15:58:33.3	0.0977	0.2818	0.3257	15.0276	1.0000
15:58:34.3	0.0977	0.2758	0.3257	14.7079	1.0000
15:58:35.3	0.1221	0.2878	0.4071	15.3473	1.0000
15:58:36.3	0.1343	0.3057	0.4478	16.3065	1.0000
15:58:37.3	0.1466	0.3117	0.4885	16.6263	1.0000
15:58:38.3	0.1588	0.3477	0.5292	18.5447	1.0000
15:58:39.3	0.1710	0.3777	0.5699	20.1434	1.0000
15:58:40.3	0.1832	0.4077	0.6106	21.7421	1.0000
15:58:41.3	0.2076	0.4496	0.6921	23.9802	1.0000
15:58:42.3	0.2198	0.4976	0.7328	26.5381	1.0000
15:58:43.3	0.2320	0.5396	0.7735	28.7763	1.0000
15:58:44.3	0.2443	0.5575	0.8142	29.7355	1.0000
15:58:45.3	0.2565	0.5995	0.8549	31.9736	1.0000
15:58:46.3	0.2687	0.6415	0.8956	34.2118	1.0000
15:58:47.3	0.2687	0.6714	0.8956	35.8105	1.0000
15:58:48.3	0.2687	0.6954	0.8956	37.0894	1.0000
15:58:49.3	0.2809	0.7374	0.9363	39.3276	1.0000
15:58:50.3	0.2931	0.7674	0.9770	40.9262	1.0000
15:58:51.3	0.2931	0.8093	0.9770	43.1644	1.0000
15:58:52.3	0.3053	0.8513	1.0177	45.4025	1.0000
15:58:53.3	0.3175	0.8933	1.0585	47.6407	1.0000
15:58:54.3	0.3175	0.9352	1.0585	49.8788	1.0000
15:58:55.3	0.3420	0.9892	1.1399	52.7565	1.0000
15:58:56.3	0.3420	1.0431	1.1399	55.6341	1.0000
15:58:57.3	0.3420	1.1031	1.1399	58.8315	1.0000
15:58:58.3	0.3542	1.1331	1.1806	60.4301	1.0000
