Code:	WP 300.20

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 18.11.2019	Time: 14:43:29

Name:	composite
User Comment:	

Data Start
t Time Index	l Distance	F Force	EPS Strain	R Stress	TEST Test	
h:min:s	mm	KN	%	N/mm^2		
14:39:55.2	0.0000	0.0180	0.0000	0.6361	1.0000
14:39:57.2	0.0000	0.0659	0.0000	2.3323	1.0000
14:39:56.2	0.0122	0.0060	0.0407	0.2120	1.0000
14:39:58.2	0.0366	0.2158	0.1221	7.6331	1.0000
14:39:59.2	0.0489	0.2698	0.1628	9.5414	1.0000
14:40:00.2	0.0733	0.2878	0.2443	10.1775	1.0000
14:40:01.2	0.0855	0.2878	0.2850	10.1775	1.0000
14:40:02.2	0.1099	0.3057	0.3664	10.8136	1.0000
14:40:03.2	0.1099	0.3117	0.3664	11.0256	1.0000
14:40:04.2	0.1221	0.3117	0.4071	11.0256	1.0000
14:40:05.2	0.1343	0.3177	0.4478	11.2377	1.0000
14:40:06.2	0.1588	0.3237	0.5292	11.4497	1.0000
14:40:07.2	0.1588	0.3537	0.5292	12.5099	1.0000
14:40:08.2	0.1832	0.3897	0.6106	13.7821	1.0000
14:40:09.2	0.2198	0.4137	0.7328	14.6302	1.0000
14:40:10.2	0.2565	0.4556	0.8549	16.1144	1.0000
14:40:11.2	0.2809	0.4916	0.9363	17.3866	1.0000
14:40:12.2	0.3298	0.5695	1.0992	20.1430	1.0000
14:40:13.2	0.3420	0.6475	1.1399	22.8994	1.0000
14:40:14.2	0.3786	0.7134	1.2620	25.2318	1.0000
14:40:15.2	0.4030	0.7973	1.3434	28.2002	1.0000
14:40:16.2	0.4275	0.8933	1.4248	31.5927	1.0000
14:40:17.2	0.4641	1.0192	1.5470	36.0454	1.0000
14:40:18.2	0.4763	1.0731	1.5877	37.9537	1.0000
14:40:19.2	0.5007	1.1331	1.6691	40.0740	1.0000
14:40:20.2	0.5252	1.1870	1.7505	41.9823	1.0000
14:40:21.2	0.5496	1.2650	1.8319	44.7387	1.0000
14:40:22.2	0.5618	1.3369	1.8727	47.2831	1.0000
14:40:23.2	0.5740	1.3909	1.9134	49.1913	1.0000
14:40:24.2	0.5862	1.4268	1.9541	50.4635	1.0000
14:40:25.2	0.5984	1.4808	1.9948	52.3718	1.0000
14:40:26.2	0.6229	1.5587	2.0762	55.1282	1.0000
14:40:27.2	0.6473	1.6007	2.1576	56.6125	1.0000
14:40:28.2	0.6473	1.6426	2.1576	58.0967	1.0000
14:40:29.2	0.6717	1.6726	2.2390	59.1568	1.0000
14:40:30.2	0.6717	1.7206	2.2390	60.8531	1.0000
14:40:31.2	0.6961	1.7625	2.3205	62.3373	1.0000
14:40:32.2	0.6961	1.8105	2.3205	64.0336	1.0000
14:40:33.2	0.6961	1.8585	2.3205	65.7298	1.0000
14:40:34.2	0.7206	1.9064	2.4019	67.4261	1.0000
14:40:35.2	0.7450	1.9424	2.4833	68.6983	1.0000
14:40:36.2	0.7694	2.0143	2.5647	71.2426	1.0000
14:40:37.2	0.7816	2.0743	2.6054	73.3630	1.0000
14:40:38.2	0.7938	2.1043	2.6461	74.4231	1.0000
14:40:39.2	0.7938	2.1522	2.6461	76.1194	1.0000
14:40:40.2	0.8183	2.2062	2.7276	78.0276	1.0000
14:41:59.2	0.8183	1.6846	2.7276	59.5809	1.0000
14:42:00.2	0.8183	1.6786	2.7276	59.3689	1.0000
14:42:01.2	0.8183	1.6846	2.7276	59.5809	1.0000
14:42:02.2	0.8183	1.7146	2.7276	60.6411	1.0000
14:40:41.2	0.8305	2.2302	2.7683	78.8758	1.0000
14:40:42.2	0.8305	2.2721	2.7683	80.3600	1.0000
14:41:58.2	0.8427	1.7386	2.8090	61.4892	1.0000
14:42:03.2	0.8427	1.8824	2.8090	66.5779	1.0000
14:40:43.2	0.8671	2.3501	2.8904	83.1164	1.0000
14:40:44.2	0.8671	2.4340	2.8904	86.0849	1.0000
14:41:53.2	0.8793	1.8705	2.9311	66.1539	1.0000
14:41:55.2	0.8793	1.8585	2.9311	65.7298	1.0000
14:41:56.2	0.8793	1.8465	2.9311	65.3057	1.0000
14:41:57.2	0.8793	1.7925	2.9311	63.3975	1.0000
14:42:04.2	0.8793	2.0203	2.9311	71.4547	1.0000
14:40:45.2	0.8915	2.4939	2.9718	88.2052	1.0000
14:40:46.2	0.8915	2.5599	2.9718	90.5375	1.0000
14:41:49.2	0.8915	2.0023	2.9718	70.8186	1.0000
14:41:50.2	0.8915	1.9844	2.9718	70.1825	1.0000
14:41:51.2	0.8915	1.9364	2.9718	68.4862	1.0000
14:41:52.2	0.8915	1.8944	2.9718	67.0020	1.0000
14:41:54.2	0.8915	1.8705	2.9718	66.1539	1.0000
14:42:05.2	0.8915	2.1462	2.9718	75.9073	1.0000
14:42:06.2	0.8915	2.2122	2.9718	78.2397	1.0000
14:42:07.2	0.9038	2.2841	3.0125	80.7841	1.0000
14:40:47.2	0.9160	2.6078	3.0532	92.2338	1.0000
14:41:47.2	0.9160	2.0803	3.0532	73.5750	1.0000
14:41:48.2	0.9160	2.0323	3.0532	71.8787	1.0000
14:42:08.2	0.9160	2.3441	3.0532	82.9044	1.0000
14:40:48.2	0.9282	2.6558	3.0940	93.9300	1.0000
14:41:46.2	0.9282	2.1163	3.0940	74.8472	1.0000
14:40:49.2	0.9404	2.7158	3.1347	96.0503	1.0000
14:41:44.2	0.9404	2.1882	3.1347	77.3916	1.0000
14:41:45.2	0.9404	2.1402	3.1347	75.6953	1.0000
14:42:09.2	0.9404	2.3860	3.1347	84.3886	1.0000
14:42:10.2	0.9404	2.4400	3.1347	86.2969	1.0000
14:40:50.2	0.9648	2.7997	3.2161	99.0188	1.0000
14:41:43.2	0.9648	2.2422	3.2161	79.2998	1.0000
14:42:11.2	0.9648	2.5059	3.2161	88.6292	1.0000
14:41:42.2	0.9893	2.3141	3.2975	81.8442	1.0000
14:42:12.2	0.9893	2.5959	3.2975	91.8097	1.0000
14:40:51.2	1.0137	2.8956	3.3789	102.4113	1.0000
14:42:13.2	1.0137	2.6738	3.3789	94.5661	1.0000
14:41:41.2	1.0259	2.4220	3.4196	85.6608	1.0000
14:42:14.2	1.0381	2.7218	3.4603	96.2624	1.0000
14:42:15.2	1.0381	2.7757	3.4603	98.1707	1.0000
14:40:52.2	1.0503	3.0035	3.5011	106.2279	1.0000
14:41:40.2	1.0503	2.4999	3.5011	88.4172	1.0000
14:40:53.2	1.0625	3.0695	3.5418	108.5602	1.0000
14:41:38.2	1.0625	2.5959	3.5418	91.8097	1.0000
14:41:39.2	1.0625	2.5419	3.5418	89.9014	1.0000
14:42:16.2	1.0747	2.8477	3.5825	100.7150	1.0000
14:42:17.2	1.0747	2.9496	3.5825	104.3196	1.0000
14:41:36.2	1.0870	2.6738	3.6232	94.5661	1.0000
14:41:37.2	1.0870	2.6378	3.6232	93.2939	1.0000
14:40:54.2	1.0992	3.1474	3.6639	111.3166	1.0000
14:41:35.2	1.0992	2.7218	3.6639	96.2624	1.0000
14:42:18.2	1.0992	3.0635	3.6639	108.3482	1.0000
14:40:55.2	1.1114	3.2253	3.7046	114.0730	1.0000
14:41:33.2	1.1114	2.8177	3.7046	99.6549	1.0000
14:41:34.2	1.1114	2.7697	3.7046	97.9586	1.0000
14:40:56.2	1.1236	3.2853	3.7453	116.1933	1.0000
14:40:57.2	1.1358	3.3213	3.7860	117.4655	1.0000
14:41:32.2	1.1358	2.8956	3.7860	102.4113	1.0000
14:42:19.2	1.1358	3.1594	3.7860	111.7407	1.0000
14:41:31.2	1.1480	2.9735	3.8267	105.1677	1.0000
14:40:58.2	1.1602	3.3932	3.8674	120.0099	1.0000
14:41:30.2	1.1602	3.0515	3.8674	107.9241	1.0000
14:42:20.2	1.1602	3.2853	3.8674	116.1933	1.0000
14:40:59.2	1.1847	3.4891	3.9489	123.4024	1.0000
14:41:28.2	1.1847	3.1714	3.9489	112.1647	1.0000
14:41:29.2	1.1847	3.0934	3.9489	109.4083	1.0000
14:42:21.2	1.1847	3.3632	3.9489	118.9498	1.0000
14:41:00.2	1.1969	3.5251	3.9896	124.6746	1.0000
14:41:01.2	1.2091	3.5551	4.0303	125.7348	1.0000
14:41:02.2	1.2091	3.5671	4.0303	126.1588	1.0000
14:41:03.2	1.2091	3.5850	4.0303	126.7949	1.0000
14:41:25.2	1.2091	3.3392	4.0303	118.1016	1.0000
14:41:26.2	1.2091	3.2793	4.0303	115.9813	1.0000
14:41:27.2	1.2091	3.2193	4.0303	113.8610	1.0000
14:42:22.2	1.2091	3.4831	4.0303	123.1904	1.0000
14:41:05.2	1.2213	3.5910	4.0710	127.0070	1.0000
14:41:06.2	1.2213	3.6030	4.0710	127.4310	1.0000
14:41:07.2	1.2213	3.6030	4.0710	127.4310	1.0000
14:41:04.2	1.2335	3.6030	4.1117	127.4310	1.0000
14:41:08.2	1.2335	3.5910	4.1117	127.0070	1.0000
14:41:09.2	1.2335	3.6390	4.1117	128.7032	1.0000
14:41:10.2	1.2335	3.6450	4.1117	128.9152	1.0000
14:41:11.2	1.2335	3.6510	4.1117	129.1273	1.0000
14:41:12.2	1.2335	3.6570	4.1117	129.3393	1.0000
14:41:24.2	1.2335	3.4771	4.1117	122.9784	1.0000
14:41:23.2	1.2457	3.6510	4.1524	129.1273	1.0000
14:42:23.2	1.2457	3.6510	4.1524	129.1273	1.0000
14:41:13.2	1.2579	3.6810	4.1931	130.1874	1.0000
14:41:14.2	1.2579	3.7049	4.1931	131.0356	1.0000
14:41:15.2	1.2579	3.7169	4.1931	131.4596	1.0000
14:41:16.2	1.2579	3.7289	4.1931	131.8837	1.0000
14:41:17.2	1.2579	3.7349	4.1931	132.0957	1.0000
14:41:19.2	1.2579	3.7409	4.1931	132.3078	1.0000
14:41:21.2	1.2579	3.7409	4.1931	132.3078	1.0000
14:41:22.2	1.2579	3.7349	4.1931	132.0957	1.0000
14:41:18.2	1.2702	3.7409	4.2338	132.3078	1.0000
14:41:20.2	1.2702	3.7409	4.2338	132.3078	1.0000
14:42:24.2	1.2946	3.8488	4.3153	136.1243	1.0000
14:42:25.2	1.3434	4.0167	4.4781	142.0612	1.0000
14:42:26.2	1.3801	4.1606	4.6002	147.1500	1.0000
14:42:27.2	1.4045	4.2625	4.6816	150.7545	1.0000
14:42:28.2	1.4167	4.3044	4.7224	152.2387	1.0000
14:42:29.2	1.4289	4.3404	4.7631	153.5109	1.0000
14:42:30.2	1.4533	4.4124	4.8445	156.0553	1.0000
14:42:31.2	1.4656	4.4543	4.8852	157.5395	1.0000
14:42:32.2	1.4778	4.5143	4.9259	159.6598	1.0000
14:42:33.2	1.5022	4.5502	5.0073	160.9320	1.0000
14:42:34.2	1.5022	4.6042	5.0073	162.8403	1.0000
14:42:35.2	1.5266	4.6821	5.0887	165.5967	1.0000
14:42:36.2	1.5511	4.7781	5.1702	168.9892	1.0000
14:42:37.2	1.5877	4.8500	5.2923	171.5336	1.0000
14:42:38.2	1.5999	4.8860	5.3330	172.8058	1.0000
14:42:39.2	1.6121	4.9759	5.3737	175.9863	1.0000
14:42:40.2	1.6488	5.0658	5.4958	179.1667	1.0000
14:42:41.2	1.6854	5.1378	5.6180	181.7111	1.0000
14:42:42.2	1.6976	5.1977	5.6587	183.8314	1.0000
14:42:43.2	1.6976	5.2577	5.6587	185.9518	1.0000
14:42:44.2	1.7220	5.3056	5.7401	187.6480	1.0000
14:42:45.2	1.7465	5.3596	5.8215	189.5563	1.0000
14:42:46.2	1.7587	5.4195	5.8622	191.6766	1.0000
14:42:47.2	1.7831	5.5095	5.9437	194.8571	1.0000
14:42:48.2	1.7953	5.5814	5.9844	197.4015	1.0000
14:42:49.2	1.8319	5.6533	6.1065	199.9458	1.0000
14:42:50.2	1.8564	5.7073	6.1879	201.8541	1.0000
14:42:51.2	1.8808	5.7792	6.2693	204.3985	1.0000
14:42:52.2	1.9052	5.8811	6.3508	208.0031	1.0000
14:42:53.2	1.9419	5.9771	6.4729	211.3956	1.0000
14:42:54.2	1.9785	6.1269	6.5950	216.6963	1.0000
Data End	

