Code:	WP 300.20

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 18.11.2019	Time: 16:37:40

Name:	stress strain poly
User Comment:	

Data Start
t Time Index	l Distance	F Force	EPS Strain	R	TEST Test	
h:min:s	mm	KN	%	N/mm^2		
16:27:25.3	0.0000	0.0000	0.0000	0.0000	1.0000
16:27:26.3	0.0000	0.0000	0.0000	0.0000	1.0000
16:27:27.3	0.0366	0.0300	0.1221	1.5987	1.0000
16:27:28.3	0.0489	0.0360	0.1628	1.9184	1.0000
16:27:29.3	0.0489	0.0540	0.1628	2.8776	1.0000
16:27:30.3	0.0611	0.0659	0.2035	3.5171	1.0000
16:27:31.3	0.0733	0.0600	0.2443	3.1974	1.0000
16:27:32.3	0.0733	0.0779	0.2443	4.1566	1.0000
16:27:33.3	0.0855	0.0839	0.2850	4.4763	1.0000
16:27:34.3	0.0977	0.0839	0.3257	4.4763	1.0000
16:27:36.3	0.0977	0.1019	0.3257	5.4355	1.0000
16:27:35.3	0.1099	0.0839	0.3664	4.4763	1.0000
16:27:37.3	0.1221	0.1019	0.4071	5.4355	1.0000
16:27:38.3	0.1466	0.1139	0.4885	6.0750	1.0000
16:27:39.3	0.1466	0.1259	0.4885	6.7145	1.0000
16:27:40.3	0.1710	0.1439	0.5699	7.6737	1.0000
16:27:41.3	0.1832	0.1439	0.6106	7.6737	1.0000
16:27:42.3	0.1954	0.1499	0.6514	7.9934	1.0000
16:27:43.3	0.1954	0.1559	0.6514	8.3131	1.0000
16:27:44.3	0.2076	0.1679	0.6921	8.9526	1.0000
16:27:45.3	0.2198	0.1739	0.7328	9.2723	1.0000
16:27:46.3	0.2443	0.1978	0.8142	10.5513	1.0000
16:27:47.3	0.2443	0.2038	0.8142	10.8710	1.0000
16:27:48.3	0.2565	0.2158	0.8549	11.5105	1.0000
16:27:49.3	0.2687	0.2278	0.8956	12.1500	1.0000
16:27:50.3	0.2687	0.2338	0.8956	12.4697	1.0000
16:27:51.3	0.3053	0.2458	1.0177	13.1092	1.0000
16:27:52.3	0.3053	0.2578	1.0177	13.7487	1.0000
16:27:53.3	0.3175	0.2638	1.0585	14.0684	1.0000
